Timestamp,NF_Instance,PDU_Session_Success_Rate,SBI_Latency_ms,Packet_Drop_Rate_Pct
2026-09-14 00:00:00,AMF_01,99.48,7.7,0.002
2026-09-14 01:00:00,AMF_01,99.43,7.0,0.088
2026-09-14 02:00:00,AMF_01,99.48,7.9,0.031
2026-09-14 03:00:00,AMF_01,99.46,10.2,0.01
2026-09-14 04:00:00,AMF_01,99.46,13.5,0.009
2026-09-14 05:00:00,AMF_01,99.38,7.1,0.051
2026-09-14 06:00:00,AMF_01,99.5,11.4,0.021
2026-09-14 07:00:00,AMF_01,99.47,12.4,0.068
2026-09-14 08:00:00,AMF_01,99.48,14.4,0.023
2026-09-14 09:00:00,AMF_01,99.29,14.3,0.023
2026-09-14 10:00:00,AMF_01,99.43,13.0,0.014
2026-09-14 11:00:00,AMF_01,99.41,16.4,0.013
2026-09-14 12:00:00,AMF_01,99.48,18.4,0.007
2026-09-14 13:00:00,AMF_01,99.5,16.7,0.006
2026-09-14 14:00:00,AMF_01,99.48,17.6,0.027
2026-09-14 15:00:00,AMF_01,99.31,13.4,0.002
2026-09-14 16:00:00,AMF_01,99.48,13.2,0.021
2026-09-14 17:00:00,AMF_01,98.94,13.2,0.012
2026-09-14 18:00:00,AMF_01,99.45,14.5,0.018
2026-09-14 19:00:00,AMF_01,99.41,13.1,0.002
2026-09-14 20:00:00,AMF_01,98.9,6.9,0.048
2026-09-14 21:00:00,AMF_01,99.48,9.8,0.008
2026-09-14 22:00:00,AMF_01,99.42,7.8,0.013
2026-09-14 23:00:00,AMF_01,99.47,5.0,0.024
2026-09-15 00:00:00,AMF_01,99.49,7.8,0.028
2026-09-15 01:00:00,AMF_01,99.47,6.4,0.039
2026-09-15 02:00:00,AMF_01,99.37,7.2,0.004
2026-09-15 03:00:00,AMF_01,99.47,9.4,0.034
2026-09-15 04:00:00,AMF_01,99.31,9.9,0.067
2026-09-15 05:00:00,AMF_01,99.37,9.1,0.001
2026-09-15 06:00:00,AMF_01,99.41,13.7,0.005
2026-09-15 07:00:00,AMF_01,99.23,13.8,0.007
2026-09-15 08:00:00,AMF_01,99.23,10.8,0.021
2026-09-15 09:00:00,AMF_01,99.4,14.1,0.022
2026-09-15 10:00:00,AMF_01,99.41,18.0,0.023
2026-09-15 11:00:00,AMF_01,99.44,16.7,0.024
2026-09-15 12:00:00,AMF_01,99.21,16.7,0.003
2026-09-15 13:00:00,AMF_01,99.23,15.6,0.024
2026-09-15 14:00:00,AMF_01,99.38,14.9,0.059
2026-09-15 15:00:00,AMF_01,99.28,15.8,0.038
2026-09-15 16:00:00,AMF_01,99.47,13.6,0.086
2026-09-15 17:00:00,AMF_01,99.48,9.2,0.013
2026-09-15 18:00:00,AMF_01,99.35,12.7,0.014
2026-09-15 19:00:00,AMF_01,99.39,13.5,0.007
2026-09-15 20:00:00,AMF_01,99.48,11.5,0.007
2026-09-15 21:00:00,AMF_01,99.47,6.1,0.004
2026-09-15 22:00:00,AMF_01,99.32,8.5,0.035
2026-09-15 23:00:00,AMF_01,99.4,5.0,0.02
2026-09-16 00:00:00,AMF_01,85.17,217.7,0.028
2026-09-16 01:00:00,AMF_01,82.74,143.2,0.002
2026-09-16 02:00:00,AMF_01,85.27,233.2,0.003
2026-09-16 03:00:00,AMF_01,82.95,247.0,0.023
2026-09-16 04:00:00,AMF_01,86.78,133.6,0.007
2026-09-16 05:00:00,AMF_01,83.48,120.4,0.002
2026-09-16 06:00:00,AMF_01,99.02,13.9,0.005
2026-09-16 07:00:00,AMF_01,99.49,14.1,0.0
2026-09-16 08:00:00,AMF_01,99.19,13.0,0.004
2026-09-16 09:00:00,AMF_01,99.48,15.5,0.001
2026-09-16 10:00:00,AMF_01,99.47,17.4,0.041
2026-09-16 11:00:00,AMF_01,99.41,15.7,0.018
2026-09-16 12:00:00,AMF_01,99.42,16.7,0.012
2026-09-16 13:00:00,AMF_01,99.45,16.7,0.012
2026-09-16 14:00:00,AMF_01,99.49,14.6,0.043
2026-09-16 15:00:00,AMF_01,99.36,14.2,0.022
2026-09-16 16:00:00,AMF_01,99.47,13.6,0.026
2026-09-16 17:00:00,AMF_01,99.42,11.2,0.016
2026-09-16 18:00:00,AMF_01,99.37,10.4,0.016
2026-09-16 19:00:00,AMF_01,99.5,15.2,0.013
2026-09-16 20:00:00,AMF_01,99.43,11.4,0.005
2026-09-16 21:00:00,AMF_01,99.34,11.7,0.017
2026-09-16 22:00:00,AMF_01,99.41,5.1,0.031
2026-09-16 23:00:00,AMF_01,99.49,5.0,0.069
2026-09-17 00:00:00,AMF_01,99.47,8.2,0.028
2026-09-17 01:00:00,AMF_01,99.31,5.2,0.008
2026-09-17 02:00:00,AMF_01,99.44,6.9,0.034
2026-09-17 03:00:00,AMF_01,99.41,10.9,0.174
2026-09-17 04:00:00,AMF_01,99.48,8.8,0.001
2026-09-17 05:00:00,AMF_01,99.46,12.4,0.015
2026-09-17 06:00:00,AMF_01,99.45,15.1,0.02
2026-09-17 07:00:00,AMF_01,99.45,12.8,0.017
2026-09-17 08:00:00,AMF_01,99.48,11.5,0.051
2026-09-17 09:00:00,AMF_01,99.5,15.7,0.049
2026-09-17 10:00:00,AMF_01,99.45,17.3,0.012
2026-09-17 11:00:00,AMF_01,99.18,14.0,0.002
2026-09-17 12:00:00,AMF_01,99.45,19.0,0.0
2026-09-17 13:00:00,AMF_01,99.48,13.8,0.014
2026-09-17 14:00:00,AMF_01,99.3,15.5,0.051
2026-09-17 15:00:00,AMF_01,99.46,17.9,0.02
2026-09-17 16:00:00,AMF_01,99.36,15.7,0.029
2026-09-17 17:00:00,AMF_01,99.5,14.0,0.04
2026-09-17 18:00:00,AMF_01,99.37,13.7,0.007
2026-09-17 19:00:00,AMF_01,99.31,12.8,0.017
2026-09-17 20:00:00,AMF_01,99.48,8.0,0.004
2026-09-17 21:00:00,AMF_01,99.4,9.0,0.004
2026-09-17 22:00:00,AMF_01,99.46,9.7,0.01
2026-09-17 23:00:00,AMF_01,99.49,7.9,0.001
2026-09-18 00:00:00,AMF_01,99.37,10.1,0.021
2026-09-18 01:00:00,AMF_01,99.39,6.7,0.011
2026-09-18 02:00:00,AMF_01,99.38,8.4,0.043
2026-09-18 03:00:00,AMF_01,99.43,10.2,0.032
2026-09-18 04:00:00,AMF_01,99.5,12.0,0.058
2026-09-18 05:00:00,AMF_01,99.41,12.7,0.009
2026-09-18 06:00:00,AMF_01,99.46,11.0,0.004
2026-09-18 07:00:00,AMF_01,99.44,13.0,0.01
2026-09-18 08:00:00,AMF_01,99.42,12.1,0.026
2026-09-18 09:00:00,AMF_01,99.44,20.7,0.035
2026-09-18 10:00:00,AMF_01,99.47,15.7,0.01
2026-09-18 11:00:00,AMF_01,99.44,16.8,0.01
2026-09-18 12:00:00,AMF_01,99.48,13.3,0.045
2026-09-18 13:00:00,AMF_01,99.33,14.8,0.018
2026-09-18 14:00:00,AMF_01,99.48,15.2,0.049
2026-09-18 15:00:00,AMF_01,99.47,15.8,0.035
2026-09-18 16:00:00,AMF_01,99.44,13.6,0.126
2026-09-18 17:00:00,AMF_01,99.34,10.3,0.036
